aggregate_demand
220,51
229,67
208,09
243,75
258,73
241,12
344,07
349,62
549,56
490,37
623,29
700,36
708,6
704,99
710,89
708,32
586,6
519,27
520,73
473,71
442,17
408,03
212,38
336,68
257,03
227,56
228,1
243,8
242,22
256,7
390,38
398,64
731,99
843,85
833,38
910,59
829,93
816,11
821,46
820,55
701,46
728,45
701,84
664,68
581,63
404,16
197,95
341,76
240,35
264,88
265,03
250,24
319,83
337,22
469,6
498,92
711,1
824,29
804,17
882,35
828,61
817,93
799,65
772,97
780,42
815,01
758,28
702,66
618,48
439,14
222,73
327,96
244,43
228,71
210,02
229,93
242,52
266,12
435,43
493,9
719,3
831,24
798,75
877,09
821,37
808,13
789,91
768,01
784,63
817,03
759,41
714,21
633,29
447,84
266,32
365,13
251,85
213,65
234,24
238,37
227,91
277,93
418,91
481
850,74
979,29
967,87
1037,69
957,08
946,21
951,97
928,64
773,12
790,82
744,43
700,02
622,17
441,4
273,9
372,18
270,1
231,76
249,95
253,85
279,35
315,52
462,62
495,49
851,44
976,76
959,85
1040,98
951,86
938,62
949,3
928,19
778,93
800,75
756,92
696,4
610,25
435,56
259,5
366,81
254,45
214,33
233,11
236,76
222,68
256,25
342,41
358,01
670,38
765,49
875,97
941,03
849,98
841,15
853,61
853,6
722,68
751,01
678,46
560,42
527,29
394,47
215,64
369,94
